Name,Address,Zipcode,Phone,Email,Latitude,Longitude,city,country,email
Arragons Cycle Centre,2 Brunswick Road,CA11 7LU,+44 1768890344,,54.665799,-2.7554502,Penrith,United Kingdom,arragonscycles@mac.com
Avon Valley Cyclery,Brunel Square,BA1 1SX,+44 1225442442,,51.3776576,-2.3568859,Bath,United Kingdom,shop@avonvalleycyclery.co.uk
Bicycle Doctor,68 70 Dickenson Road,M14 5HF,+44 1612241303,,53.4522141,-2.2192387,Manchester,United Kingdom,sales@bicycledoctor.com
Birdie Bikes Hampton,7 Wensleydale Road,TW12 2LP,+44 2089419397,,51.417184,-0.3693656,Hampton,United Kingdom,info@birdiebikes.co.uk
C H White & Son,51 High Street,SN16 9AG,+44 1666822330,,51.58206,-2.0974,Malmesbury,United Kingdom,chwhite@btinternet.com
Clive Mitchell Cycles,6 Calenick Street,TR1 2SF,+44 1872276930,,50.262524,-5.0541487,Truro,United Kingdom,shop@clivemitchellcycles.co.uk
Colchester Cycle Stores,50 St Johns Street,CO2 7AD,+44 1206563890,,51.887682,0.89792493,Colchester,United Kingdom,colchester.cycles@yahoo.co.uk
Condor Cycles Ltd,49-53 Grays Inn Road,WC1X 8PP,+44 2072696820,,51.5220435,-0.1140495,London,United Kingdom,customer.service@condorcycles.com
Cyclecare Kensington Ltd,54 Earls Court Road,W8 6EJ,+44 2074600495,,51.4977,-0.19786,London,United Kingdom,cyclecarekensington54@gmail.com
Cycle Heaven,31 Hospital Fields Road,YO10 4FS,+44 1904651870,,53.9450631,-1.0773428,York,United Kingdom,info@cycle-heaven.co.uk
Cycle Revival,Oxford House,TN21 8AA,+44 1435866118,,50.9656783,0.2557151,Heathfield,United Kingdom,info@cyclerevival.co.uk
Dales,150 Dobbies Loan,G4 0JE,+44 1413322705,,55.8677377,-4.2487973,Glasgow,United Kingdom,sales@dalescycles.com
Damian Harris Cycles,55B Merthyr Road,CF14 1DD,+44 2920529955,,51.5120091,-3.2181952,Cardiff,United Kingdom,accounts@damianharriscycles.co.uk
De Ver Cycles,632 - 636 Streatham High Road,SW16 3QL,+44 2086796197,,51.4140676,-0.1246812,London,United Kingdom,devercycle@aol.com
Compton Cycles,23/25 Catford Hill,SE6 4NU,+44 2086900141,,51.44277,-0.02708,London,United Kingdom,info@comptoncycles.co.uk
Fred Williams Cycles,37 Snow Hill,WV2 4AG,+44 1902428407,,52.5816783,-2.1260702,Wolverhampton,United Kingdom,fredsofficewench@gmail.com
Hargroves Cycles Ltd,150 Commercial Road,SO40 3AA,+44 2380428987,,50.9189434,-1.4813216,Totton,United Kingdom,southampton@hargrovescycles.co.uk
Harry Hall Cycles,67 Whitworth Street West,M1 5WQ,+44 1612365699,,53.47443,-2.24308,Manchester,United Kingdom,info@harryhallcycles.co.uk
Ian Brown's Cycle Shop,Les Banques,GY1 2HZ,+44 1481721581,,49.4697648,-2.5339142,St Peter Port,Guernsey,enquiries@ianbrowns.co.uk
J E James Cycles Chesterfield,Brimington Road North,S41 9AP,+44 1246453453,,53.2592418,-1.4236119,Chesterfield,United Kingdom,chesterfield@jejamescycles.com
Ken Foster's Cycle Logic,374-376 Barlow Moor Road,M21 8AZ,+44 1618817160,,53.4381057,-2.2740652,Manchester,United Kingdom,info@kenfosterscyclelogic.co.uk
Mastercraft Cycles,39 Bridge Street,HR4 9DG,+44 1432274047,,52.05342,-2.71898,Hereford,United Kingdom,lynette.quinton@mastercraftcycles.com
Moose Cycles,48 High Street,SW19 2BY,+44 2085449166,,51.4253,-0.221,London,United Kingdom,info@moosecycles.com
Mud Dock Cycleworks,40 The Grove,BS1 4RB,+44 1179292151,,51.4493759,-2.5955265,Bristol,United Kingdom,admin@mud-dock.co.uk
On Your Bike London,3-4 London Bridge Walk,SE1 2SX,+44 2073786669,,51.5062105,-0.0898761,London,United Kingdom,london@onyourbike.com
Paul's Bikes,95 Walsworth Road,SG4 9SU,+44 1462434433,,51.95157,-0.26794,Hitchin,United Kingdom,paul.bullen@gmail.com
Red Kite Cycles,2-4 Union Road,B90 3DX,+44 1217452618,,52.405131,-1.8221495,Shirley,United Kingdom,shop@redkitecycles.co.uk
Renhams Cycle Centre,17 Grace Hill,CT20 1HA,+44 1303241884,,51.0815894,1.1807545,Folkestone,United Kingdom,info@renhamscycles.co.uk
Richardsons Cycles,99-101 Elm Road,SS9 1SP,+44 1702713847,,51.54407,0.65404,Leigh on Sea,United Kingdom,richardsonscycles@hotmail.co.uk
South Downs Bikes,38 West Street,RH20 4EE,+44 1903745534,,50.9182749,-0.4564837,Storrington,United Kingdom,online@southdownsbikes.com
Thorn Cycles Ltd (T/A St John Street Cycles),91-93 St John Street,TA6 5HX,+44 1278441500,,51.1282365,-2.9941577,Bridgwater,United Kingdom,brompton@sjscycles.com
The Bike Factory,153-161 Boughton,CH3 5BH,+44 1244317893,,53.19237,-2.87337,Chester,United Kingdom,sales@thebikefactory.co.uk
The Cycle Centre Jersey,7 Anley Street,JE2 3QE,+44 1534876889,,49.201818,-2.117472,St. Helier,Jersey,thecyclecentrejsy@yahoo.co.uk
Uros Medved s.p.,Mesarska 36,1000,+386 41671695,,46.0472833,14.5223804,Ljubljana,Slovenia,info@brompton.si
Voss Spezial Rad GmbH,Alte Schmiede 3,25582,+49 48934287250,,53.9901836,9.4684861,Kaaks,Germany,logistik@voss-spezialrad.de
B-Fold,"Unit 1, 224 East 13th Street",10003,+1 2125297247,,40.732015,-73.9868175,New York,United States,bfoldbikes@gmail.com
Clever Cycles Limited,900 SE Hawthorne Blvd,97214,+1 5033341560,,45.512086,-122.6588017,Portland,United States,info@clevercycles.com
Trophy Bikes PHL,133 S. 23rd St.,19103,+1 2155921234,,0,0,Philadelphia,United States,info@trophybikes.com
John Atkins Cycles Ltd,32a Clemens Street,CV31 2DN,+44 1926430211,,52.28248,-1.53151,Leamington Spa,United Kingdom,info@johnatkinscycles.co.uk
On Your Bike Sutton Coldfield,92 Boldmere Road,B73 5UB,+44 1216666933,,52.5479631,-1.8500067,Sutton Coldfield,United Kingdom,birmingham@onyourbike.com
College Park Bicycles,7301 Baltimore Avenue,20740,+1 3018642211,,38.97857,-76.9376,College Park,United States,armden.info@gmail.com
Cyclecare Swindon,89 High Street,SN5 4AB,+44 1793778123,,51.5877825,-1.8676074,Swindon,United Kingdom,tim-whitty@hotmail.com
Redbike,10918 88th Avenue.,T6G 0Z1,+1 7804352674,,53.5239483,-113.5128841,Edmonton,Canada,info@redbike.ca
Bikes@Vienna,128 Church St NW,VA 22180,+1 7039388900,,38.90128,-77.266895,Vienna,United States,tim@bikesatvienna.com
Cycle Centre Newcastle,250 Shields Road,NE6 1DX,+44 1912651472,,54.97749,-1.57674,Newcastle,United Kingdom,sales@cyclecentreuk.co.uk
Electric Bikes LA,209 East El Segundo Blvd,90245,+1 3106402453,,33.9165271,-118.4137676,El Segundo,United States,craig@electricbikesla.com
Bridgegate Cycles,33 Bridgegate,DN22 7UX,+44 1777705976,,53.3241265,-0.9465473,Retford,United Kingdom,dan@byman.dk
Flying Ball Bicycle Company,Unit B1 B40-B42 B/F,HKG,+852 23813661,,22.3193039,114.1693611,Hong Kong,"China, Hong Kong Special Administrative Region",fbbikeshop@gmail.com
Darke Cycles,1 John Street,SR1 1DX,+44 1915108155,,54.9063464,-1.3802703,Sunderland,United Kingdom,info@darkecycles.co.uk
Pedal Cycles,493 Ringwood Road,BH22 9AG,+44 1202896629,,50.8003556,-1.8918522,Ferndown,United Kingdom,info@pedal-cycles.co.uk
Broadway Bicycle School,351 Broadway,2139,+1 6178683392,,42.364968,-71.103187,Cambridge,United States,parts@broadwaybicycleschool.com
Montlake Bicycle Shop,2223 24th Ave E,98112,+1 2063297333,,47.63934,-122.30238,Seattle,United States,patrick@montlakebike.com
Pasadena Cyclery,1670 E Walnut Street,91106,+1 6265846391,,34.1493727,-118.1161233,Pasadena,United States,info@pasadenacyclery.com
Diamond Cycle,409 Bloomfield Avenue,7042,+1 9735090233,,40.813193,-74.216065,Montclair,United States,info@diamondcycle.com
BernatPlus SIA,Lokomotives st.70a-27,LV-1057,+371 29361244,,56.9034538,24.2073915,Riga,Latvia,saturdaycycles@gmail.com
PortaPedal Bike Inc,2054 East Southern Avenue,85282  ,+1 4802456369,,33.3929838,-111.8979702,Tempe,United States,donna@portapedalbike.com
Bike Bike,#130-1439 10 Avenue SE,T2G 0X1,+1 4034572453,,51.038329,-114.030038,Calgary,Canada,info@bikebike.ca
Down Tube,466 Madison Avenue  ,12208,+1 5184341711,,42.65288,-73.769154,Albany,United States,downtubecycleworks@gmail.com
A Fudge & Sons Ltd,176 Chiswick High Road,W4 1PR,+44 2089941485,,51.4928444,-0.2551149,London,United Kingdom,chiswick@fudgescycles.com
Sic Transit Cycles,1002 Pontiac Trail,48105,+1 7343276900,,42.289855,-83.738762,Ann Arbor,United States,sic.transit.a2@gmail.com
Urban Bicycle Gallery,801 Durham Drive,77007,+1 7138630991,,29.7721302,-95.4100318,Houston ,United States,jon@urbanbicyclegallery.com
Legend Bicycle,181 Brook Street      ,2906,+1 4013833070,,41.821494,-71.398349,Providence,United States,info@legendbicycle.com
Fridhem Cykelaffar,Tessins väg 13,217 58,+46 40260335,,55.5961438,12.993173,Malmö,Sweden,fridhemscykel3@telia.com
Almacenes Calmera S.L.,Calle de Atocha 89,28012,+34 915277574,,40.4104893,-3.6957195,Madrid,Spain,info@calmera.es
Saddle Safari Ltd,9 Dean Street,SL7 3AA,+44 1628477020,,51.5735134,-0.7767388,Marlow,United Kingdom,info@saddlesafari.co.uk
Velorama.cz ,Osadni 16 ,170 00,774585232,,50.10428,14.44705,Praha 7,Czech Republic,ladislav.blaha@velorama.cz
CITYBIKES ,Nam. Svatopluka Cecha 5 ,101 00,234 139 444,,50.0698209,14.4597736,Praha 10,Czech Republic,
Transition Cycles,44b Castle Road,MK40 3PJ,+44 1234351154,,52.1367821,-0.4609525,Bedford,United Kingdom,transitioncycles@live.co.uk
Ride This Bike,231 Dauphine Street ,70112,+1 5043242492,,29.9559437,-90.0696483,New Orleans,United States,ridethsbk@gmail.com
Cykeldoktorn,Södra Storgatan 37,252 23,+46 42240804,,56.04466,12.70001,Helsingborg,Sweden,tommy@cykeldoktorn.se
Stampens Cykelaffär AB,Järngatan 3,441 39,+46 322611834,,57.927967,12.5471115,Alingsas,Sweden,johan@stampenscykel.se
Huckleberry Bicycles,"1255 Battery Street, Suite 120",94111,+1 4154846575,,37.7809,-122.41172,San Francisco,United States,info@huckleberrybicycles.com
C and N Cycles,32 Station Road,RH1 1PD,+44 1737760857,,51.2405,-0.17056,Redhill,United Kingdom,info@candncycles.co.uk
Bicycle Roots," 663 Franklin Ave, Brooklyn",11238,+1 7186685224,,40.6763557,-73.9496925,New York,United States,orders@bicycleroots.com
Runway Cycling,Heathrow Academy Building,TW6 2AP,+44 2089909720,,51.4800609,-0.4391763,Hounslow,United Kingdom,info@runwaycycling.com
Blue Heron Bikes,1306 Gilman St,CA 94706,+1 5105241937,,37.88134,-122.28956,Berkeley,United States,rob@blueheronbikesberkeley.com
Redbeard Bikes,"18 Bridge Street, #1E",11201,+1 7188582453,,40.704172,-73.9849065,Brooklyn,United States,ilya@redbeardbikes.com
Trompton,Overtoom 139,1054HG,+31 204122900,,52.3620005,4.8730354,Amsterdam,Netherlands,brompton@vouwfiets.nl
A W Cycles,110 Henley Road,RG4 6DH,+44 1189463050,,51.47081892,-0.959445108,Reading,United Kingdom,info@awcycles.co.uk
Kok Fietsen,Nachtegaalstraat 51,3581 AD,+31 302315780,,52.09172,5.13107,Utrecht,Netherlands,info@kokfietsen.nl
Lunar Cycles,66 Wilkin Street Mews,NW5 3NN,+44 2074821515,,51.547052,-0.1468792,London,United Kingdom,info@lunarcycles.co.uk
The Off Ramp - Santa Clara,2369 El Camino Real,0.9505,+1 4082492848,,37.352718,-121.9700327,.Santa Clara,United States,offrampbikes72@gmail.com
Oraintxe S.L.,Calle de San Antón 64,31001,+34 948213033,,42.8158409,-1.647291,Pamplona,Spain,mundoraintxe@gmail.com
Gama Bicicletas S.L,C/ Domingo Beltran de Otazu 8,1012,+34 945247542,,42.8529,-2.6791687,Vitoria-Gasteiz,Spain,taller@gamabicicletas.com
Grupo La Veloz Cooperativa,C/ Asalto 69,50002,+34 976295800,,41.6497222,-0.873022,Zaragoza,Spain,recicleta@grupolaveloz.com
Metro Gnome Music LLC,4044 E. Speedway Blvd.,85712,+1 5203203780,,32.235875,-110.9060084,Tucson,United States,metrognomemusic@aol.com
Elmy Cycles,86-88 St Helens Street,IP4 2LB,+44 1473255247,,52.056392,1.1648943,Ipswich,United Kingdom,info@elmycycles.co.uk
Jim’s Bicycle Shop,8015 Plainfield Road,45236,+1 5137931163,,39.2077633,-84.3991502,Cincinnati,United States,inquire@jimsbicycleshop.com
Urkai Inc,860 Cumberland Ave,L7N 3V1,+1 8002200150,,43.3437649,-79.7934128,Burlington,Canada,abowen@urkai.com
Kindred Cycles,2515 Penn Avenue,15222,+1 4124712656,,40.454386,-79.979636,Pittsburgh,United States,kindredcycles@gmail.com
Two Fold Bicycle Shop,3028 Dr MLK Jr St N,33704,+1 7273468452,,27.7713957,-82.6427597,St Petersburg,United States,twofold@labbikes.com
サイクルハウスしぶや お花茶屋,東京都葛飾区お花茶屋1－26－2,1－26－2,03-5650-2510,,35.749619,139.839901,東京都,Japan,toiawase@cycleshibuya.com
Green Cycle Station,神奈川県横浜市中区山下町24-8 シティコート山下公園1F,230-0074,045-663-6263,,35.44599,139.646345,横浜市,Japan,contact@gcs-yokohama.com
Galeries du cycle,Quai de la boverie 78,4020,+32 42236632,,50.6316389,5.576958,Liege,Belgium,info@galeriesducycle.com
VeloDroom,Van Arteveldestraat 41,1000,+32 25138199,,50.8482738,4.3462412,Brussel,Belgium,info@velodroom.net
Dejonckheere NV,Kerkstraat 26-28,8400,+32 59508721,,51.2311009,2.9194307,Oostende,Belgium,info@pro-winner.be
Vlerick Fietsen,Nieuwstraat 16,9840,+32 92824709,,50.985472,3.644263,De Pinte,Belgium,info@vlerickfietsen.be
AVA Hendrickx fietsen,Minderbroederstraat 6,1500,+32 23586225,,50.7351606,4.2336183,Halle,Belgium,postbus@fietsenhendrickx.be
Fietsen Wanneyn bvba,Koolkerkse Steenweg 83A,8000,+32 50355508,,51.2253556,3.2358447,Brugge,Belgium,info@wanneyn.be
Tromm Tweewielers,Europaplein 45,1078 GV,+31 206642099,,52.3430695,4.8922045,Amsterdam,Netherlands,info@tromm.nl
Chamizo Fietsen bvba.,Liersesteenweg 88,2860,+32 15211899,,51.0556509,4.4800957,Sint-Katelijne-Waver,Belgium,info@chamizo.be
Bikeshop Amersfoort,Leusderweg 92-94,3817 KC,+31 334651321,,52.1454948,5.382166,Amersfoort,Netherlands,info@bikeshop.nl
Rijwielstalling: Aon de Stasie,Stationsplein 26,6221BT,+31 433211100,,50.8497433,5.7048194,Maastricht,Netherlands,info@aondestasie.nl
